Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Geschwindigkeit,Maximale Geschwindigkeit,Anstieg gesamt,Abstieg gesamt,Ø Trittfrequenz,Max. Trittfrequenz,Normalized Power® (NP®),Training Stress Score®,Maximale Ø Leistung (20 min),Ø Leistung,Max. Leistung,Pedalumdrehungen insgesamt,Body Battery Abnahme ((no dash)),Minimale Temperatur,Dekompression,Beste Rundenzeit,Anzahl der Runden,Maximale Temperatur,Ø Atemfrequenz,Minimale Atemfrequenz,Maximale Atemfrequenz,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
E-Bike-Fahren,2025-12-13 09:04:24,false,"Madiswil E-Bike-Fahren","8.01","164","00:20:53","115","132","0.9","23.0","34.2","122","27","--","--","--","0.0","--","--","--","--","-3","15.0","Nein","00:07:56.1","2","22.0","--","--","--","00:20:52","00:20:57","541","642"
E-Bike-Fahren,2025-12-13 07:00:54,false,"Hasle bei Burgdorf E-Bike-Fahren","25.34","387","00:58:04","113","137","1.5","26.2","47.8","368","421","--","--","--","0.0","--","--","--","--","-8","11.0","Nein","00:00:49.5","6","28.0","--","--","--","00:58:02","00:58:04","531","843"
E-Bike-Fahren,2025-11-11 16:12:29,false,"Muri bei Bern E-Bike-Fahren","13.07","172","00:33:04","98","116","0.4","23.7","47.0","203","70","--","--","--","0.0","--","--","--","--","-5","17.0","Nein","00:08:25.7","3","29.0","--","--","--","00:32:54","00:40:42","553","700"
E-Bike-Fahren,2025-11-11 07:58:31,false,"Hasle bei Burgdorf E-Bike-Fahren","20.03","247","00:51:48","95","117","0.3","23.2","51.0","328","344","--","--","--","0.0","--","--","--","--","-7","12.0","Nein","00:00:05.3","5","28.0","--","--","--","00:51:25","00:58:38","553","778"
Rennradfahren,2025-11-09 13:17:56,false,"Hasle bei Burgdorf Rennradfahren","25.29","761","01:02:49","153","182","3.6","24.2","56.3","354","420","70","100","209","77.5","222","175","662","4169","--","10.0","Nein","00:00:36.0","26","24.0","34","19","44","01:02:44","01:02:49","532","839"
Rennradfahren,2025-10-29 14:31:12,false,"Muri bei Bern Rennradfahren","19.89","584","00:51:38","151","176","3.2","23.1","53.5","248","223","70","98","196","55.8","187","162","730","3452","--","12.0","Nein","00:01:42.1","20","23.0","32","19","38","00:51:31","00:53:25","563","712"
Rennradfahren,2025-10-29 08:04:55,false,"Hasle bei Burgdorf Rennradfahren","22.39","632","00:54:51","135","174","3.1","24.5","51.2","203","236","69","90","194","58.2","204","166","530","3548","--","1.0","Nein","00:00:57.5","23","10.0","28","12","40","00:54:46","00:54:51","564","713"
E-Bike-Fahren,2025-10-28 16:35:04,false,"Muri bei Bern E-Bike-Fahren","21.03","269","00:50:45","99","124","0.5","24.9","48.5","248","204","--","--","--","0.0","--","--","--","--","-4","18.0","Nein","00:02:34.7","5","29.0","--","--","--","00:50:32","00:51:08","560","705"
E-Bike-Fahren,2025-10-28 08:21:53,false,"Hasle bei Burgdorf E-Bike-Fahren","20.25","240","00:50:36","94","117","0.3","24.0","44.6","230","254","--","--","--","0.0","--","--","--","--","-5","15.0","Nein","00:00:43.8","5","28.0","--","--","--","00:50:30","00:51:21","561","718"
Radfahren,2025-10-10 11:40:16,false,"Hasle bei Burgdorf Radfahren","14.88","237","00:59:55","87","103","0.2","14.9","27.2","9","89","--","--","--","0.0","--","--","--","--","-5","20.0","Nein","00:03:07.6","15","27.0","--","--","--","00:59:39","01:00:58","512","596"
E-Bike-Fahren,2025-10-08 14:58:09,false,"Langnau im Emmental E-Bike-Fahren","11.53","176","00:27:32","105","139","0.7","25.1","47.9","115","179","--","--","--","0.0","--","--","--","--","-3","19.0","Nein","00:03:37.7","3","26.0","--","--","--","00:27:29","00:28:52","598","722"
E-Bike-Fahren,2025-10-08 13:11:56,false,"Muri bei Bern E-Bike-Fahren","27.13","370","01:02:47","107","138","1.0","25.9","52.2","333","203","--","--","--","0.0","--","--","--","--","-8","20.0","Nein","00:05:13.5","6","26.0","--","--","--","01:02:36","01:10:34","564","777"
E-Bike-Fahren,2025-10-08 07:59:35,false,"Hasle bei Burgdorf - Basis","20.93","242","00:48:37","96","120","0.5","25.8","44.6","270","264","--","--","--","0.0","--","--","--","--","-7","15.0","Nein","00:01:24.0","21","26.0","--","--","--","00:48:25","00:54:01","563","715"
Rennradfahren,2025-10-06 20:55:00,false,"Hasle bei Burgdorf Rennradfahren","8.40","290","00:22:02","141","181","2.7","22.9","53.8","142","141","68","91","246","36.9","194","193","679","1391","--","9.0","Nein","00:00:56.9","9","21.0","31","19","44","00:21:59","00:22:02","588","716"
Rennradfahren,2025-09-20 09:10:03,false,"Hasle bei Burgdorf Rennradfahren","40.78","1,128","01:35:08","147","174","3.8","25.7","53.9","349","384","68","98","204","111.6","193","171","634","6146","--","16.0","Nein","00:01:35.8","41","23.0","31","19","40","01:34:54","01:37:19","555","723"
Rennradfahren,2025-09-13 16:56:43,false,"Hasle bei Burgdorf Rennradfahren","6.74","228","00:21:41","125","180","2.3","18.7","37.6","130","132","60","87","239","34.3","147","149","658","1001","--","18.0","Nein","00:01:25.3","7","26.0","27","17","41","00:21:39","00:21:41","588","707"
Rennradfahren,2025-09-11 21:12:17,false,"Hasle bei Burgdorf Rennradfahren","6.05","165","00:15:05","119","177","2.3","24.0","40.4","32","30","64","93","268","29.5","--","156","736","823","--","12.0","Nein","00:00:07.2","7","28.0","26","15","44","00:15:00","00:16:26","573","601"
Rennradfahren,2025-09-09 19:21:18,false,"Hasle bei Burgdorf Rennradfahren","3.15","61","00:08:37.2","103","128","0.5","21.9","37.6","4","32","50","72","121","3.4","--","92","425","306","--","17.0","Nein","00:00:35.8","4","21.0","--","--","--","00:08:23","00:10:03","572","601"
Rennradfahren,2025-09-07 17:15:02,false,"Affoltern im Emmental Rennradfahren","11.08","219","00:21:36","145","175","2.6","30.8","65.1","86","286","65","95","213","26.9","142","142","657","1134","--","25.0","Nein","00:00:14.5","12","28.0","33","20","41","00:21:33","00:21:36","588","839"
Rennradfahren,2025-09-07 16:35:06,false,"Lützelflüh Rennradfahren","11.13","469","00:33:23","158","181","3.7","20.0","59.1","290","88","73","95","235","50.0","231","208","600","2371","--","25.0","Nein","00:00:13.1","12","29.0","37","21","46","00:33:20","00:33:23","584","838"
Rennradfahren,2025-09-06 17:09:05,false,"Hasle bei Burgdorf Rennradfahren","14.17","354","00:59:55","101","131","1.1","14.2","33.1","111","123","--","--","--","0.0","--","--","--","--","--","17.0","Nein","00:00:59.7","15","24.0","--","--","--","00:59:33","01:06:36","584","665"
Radfahren,2025-09-06 13:33:51,false,"Diemtigen Radfahren","3.80","56","00:11:47","87","112","0.2","19.4","48.4","3","288","--","--","--","0.0","--","--","--","--","-2","23.0","Nein","00:02:10.8","4","27.0","--","--","--","00:11:25","00:13:26","1,003","1,290"
Rennradfahren,2025-09-03 20:34:09,false,"Hasle bei Burgdorf Rennradfahren","5.22","152","00:13:59","124","177","2.2","22.4","48.7","32","33","60","94","275","28.8","--","155","739","692","--","17.0","Nein","00:00:38.7","6","25.0","26","16","44","00:13:57","00:13:59","583","601"
